dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,swin,dwin,smean,dmean,src,dst,sport,dport,proto
0.4170348644256592,2,0,130,0,4.7957621067351335,1,0,2493.7962955022695,0.0,0,0,65.0,0.0,192.168.1.10,224.0.0.252,51345,5355,17
0.41527628898620605,2,0,136,0,4.816070777559931,1,0,2619.9425029926024,0.0,0,0,68.0,0.0,192.168.1.11,224.0.0.252,54210,5355,17
0.41109132766723633,2,0,130,0,4.865098982625408,1,0,2529.8514709652127,0.0,0,0,65.0,0.0,192.168.1.10,224.0.0.252,54805,5355,17
181.56763553619385,4,0,184,0,0.022030357933491052,1,0,8.107171719524707,0.0,0,0,46.0,0.0,192.168.1.19,224.0.0.251,0,0,2
182.38554549217224,13,0,1532,0,0.07127757830215742,255,0,67.19830766701855,0.0,0,0,117.84615384615384,0.0,192.168.1.19,224.0.0.251,5353,5353,17
61.80581259727478,16,16,6805,5597,0.5177506557273382,128,249,880.8233030561341,724.4626050264781,254,256,425.3125,349.8125,192.168.1.11,54.218.95.212,62553,443,6
84.9265079498291,12,14,2658,5410,0.30614705146430454,128,249,250.381188551422,509.6170918221193,254,176,221.5,386.42857142857144,192.168.1.11,54.218.95.212,52096,443,6
0.001,1,0,68,0,1000.0,1,0,544000.0,0.0,0,0,68.0,0.0,192.168.1.11,224.0.0.252,56583,5355,17
0.8874356746673584,2,0,130,0,2.2536844721164373,1,0,1171.9159255005475,0.0,0,0,65.0,0.0,192.168.1.10,224.0.0.252,58998,5355,17
0.3168647289276123,2,0,136,0,6.311841670635736,1,0,3433.6418688258404,0.0,0,0,68.0,0.0,192.168.1.11,224.0.0.252,55080,5355,17
0.37160563468933105,2,0,130,0,5.38204971426775,1,0,2798.66585141923,0.0,0,0,65.0,0.0,192.168.1.10,224.0.0.252,54354,5355,17
61.14406490325928,17,17,3954,6116,0.556063782376818,128,249,517.3355754159854,800.2084924744985,252,143,232.58823529411765,359.7647058823529,192.168.1.11,54.148.23.12,54919,443,6
101.03025722503662,11,15,2639,5470,0.2573486469710468,128,249,208.96710134049002,433.13756890203877,254,186,239.9090909090909,364.6666666666667,192.168.1.11,54.148.23.12,53933,443,6
134.96866869926453,3,0,138,0,0.022227380835211183,1,0,8.179676147357716,0.0,0,0,46.0,0.0,192.168.1.16,224.0.0.251,0,0,2
139.0607671737671,6,0,600,0,0.04314660505577781,255,0,34.51728404462225,0.0,0,0,100.0,0.0,192.168.1.16,224.0.0.251,5353,5353,17
0.001,1,0,46,0,1000.0,1,0,368000.0,0.0,0,0,46.0,0.0,192.168.1.23,224.0.0.251,0,0,2
112.48611211776733,6,0,600,0,0.053339918031110364,255,0,42.67193442488829,0.0,0,0,100.0,0.0,192.168.1.23,224.0.0.251,5353,5353,17
